what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239039483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239054078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1364239054090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239054824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239059620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239067750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239070905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239071216
opened,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239071293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239071308
activated,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239071324
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364239073195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239078109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239080038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364239080044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239080048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239081533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239081576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239082722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239082732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239082767
closed,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239082771
closed,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239082786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239084621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239085481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364239085485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239086707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239087175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364239087180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239094722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239102957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239106880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239108022
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1364239108143
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1364239108157
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1364239108190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239108644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239108664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1364239113522
activated,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239128538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239129558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239135095
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364239141114
activated,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239144342
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364239144853
activated,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239145751
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364239146705
started,bundle,org.eclipse.uml2.uml.editor,4.0.1.v20120913-1441,"org.eclipse.uml2.uml.editor",1364239146831
opened,editor,com.yattasolutions.diagrams.editor,1.5.1.201209280943,"com.yattasolutions.diagrams.editor.ModelEditor",1364239146878
activated,editor,com.yattasolutions.diagrams.editor,1.5.1.201209280943,"com.yattasolutions.diagrams.editor.ModelEditor",1364239146908
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1364239147809
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364239151398
activated,editor,com.yattasolutions.diagrams.editor,1.5.1.201209280943,"com.yattasolutions.diagrams.editor.ModelEditor",1364239152686
activated,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239164054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239168548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239169693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364239169712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239172521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239198922
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1364239205757
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1364239205807
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1364239205811
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1364239205832
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1364239205854
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1364239205884
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1364239205886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239206535
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1364239206566
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1364239206578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239278967
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1364239278973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239282640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1364239283861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1364239289283
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1364239293143
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1364239294440
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1364239295274
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1364239295277
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1364239295810
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1364239299683
error,log,,,"Provisioning exception",1364239303321
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1364239360505
error,log,,,"Provisioning exception",1364239445706
error,log,,,"Provisioning exception",1364239445708
error,log,,,"Provisioning exception",1364239456362
error,log,,,"Some sites could not be found.  See the error log for more detail.",1364239456366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239475953
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1364239475961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239476222
error,log,,,"Provisioning exception",1364239607819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239942302
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364239943216
opened,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1364239947973
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1364239947999
activated,view,com.yattasolutions.diagrams.editor,1.5.1.201209280943,"com.yattasolutions.umllab.hintView",1364239948646
activated,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239949191
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364239953610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1364239955645
activated,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239956059
started,bundle,com.yattasolutions.umllab.ccp,1.5.1.201209280943,"com.yattasolutions.umllab.ccp",1364239958641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239958678
started,bundle,com.yattasolutions.coobra.emf,1.5.1.201209280943,"com.yattasolutions.coobra.emf",1364239958736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239962817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1364239962828
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364239964196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1364239965410
activated,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239965753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239966922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239967745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1364239967757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239970161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239971301
activated,editor,com.yattasolutions.diagrams.editor,1.5.1.201209280943,"com.yattasolutions.diagrams.editor.ModelEditor",1364239971408
closed,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364239971455
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364239973161
closed,editor,com.yattasolutions.diagrams.editor,1.5.1.201209280943,"com.yattasolutions.diagrams.editor.ModelEditor",1364239973165
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364239973968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239974600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239975510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364239975514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239975518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239975677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239977833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239978302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364239978307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239980285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239980972
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1364239983208
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1364239983219
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1364239986405
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1364239986902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364239989177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364240057733
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364240057742
error,log,,,"Unable to create editor ID com.yattasolutions.diagrams.classdiagram.gef.editors.Editor: Unable to load model for diagram platform:/resource/Numbersorter/Class%20Diagram.umlcd",1364240058256
opened,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364240058400
opened,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364240058408
activated,editor,com.yattasolutions.diagrams.classdiagram.gef,1.5.1.201209280943,"com.yattasolutions.diagrams.classdiagram.gef.editors.Editor",1364240058449
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364240058477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364240061831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364240062365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1364240062369
